타자, 61, 189
사아, 40, 154
나다, 72, 193
카자, 88, 145
카라, 76, 198
카마, 94, 152
아파, 74, 174
가파, 51, 144
자아, 56, 197
가바, 52, 161
바자, 51, 152
사아, 81, 150
라카, 60, 145
카하, 98, 154
다파, 76, 185
바아, 60, 156
마가, 45, 167
사다, 47, 197
타나, 65, 164
나아, 63, 141
아가, 69, 196
사자, 49, 141
파마, 80, 185
사차, 83, 142
아카, 47, 193
바사, 87, 140
하라, 67, 184
자사, 42, 194
자자, 53, 145
아바, 52, 140
파바, 83, 181
자아, 91, 145
사가, 63, 154
아사, 60, 178
아타, 51, 159
타바, 84, 148
차마, 98, 184
자사, 52, 188
타차, 65, 179
사차, 84, 173
자파, 55, 169
사카, 49, 170
차바, 64, 147
하나, 69, 153
카타, 88, 179
하가, 43, 140
가다, 96, 173
마자, 86, 154
자바, 44, 178
바아, 54, 176
카파, 89, 161
파가, 75, 186
다하, 40, 172
자차, 59, 195
마나, 53, 195
라라, 49, 189
사사, 49, 147
카타, 60, 190
파마, 44, 172
차바, 63, 170
다나, 71, 167
자카, 63, 163
아가, 71, 190
차차, 42, 186
카카, 55, 148
다타, 78, 180
가사, 46, 192
파가, 93, 166
마차, 53, 166
아사, 69, 178
파바, 54, 179
카하, 93, 144
하가, 88, 153
차나, 54, 158
파다, 79, 173
자다, 83, 194
카가, 58, 182
타라, 68, 165
아아, 77, 152
마파, 46, 154
자나, 79, 171
라자, 72, 160
카마, 46, 153
나아, 68, 194
파다, 54, 149
다라, 40, 143
라마, 40, 196
마파, 91, 190
바바, 65, 184
자가, 49, 141
나나, 63, 165
파자, 84, 167
아사, 42, 188
나가, 76, 161
라다, 90, 155
파자, 76, 171
가하, 79, 153
사다, 58, 176
라마, 40, 169
사카, 85, 167
